Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1445
Anzahl Artikel in Train:	361
Anteil von Test an gesamten Artikeln:	0.8001
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	2106
Anzahl Sätze in Train:	505
Anteil von Test an gesamten Sätzen:	0.8066
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	4440
Anzahl Interaktionen in Train:	1109
Anteil von Test an gesamten Interaktionen:	0.8001
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8934
0/1 Verhältnis in Train:	0.9022
Verhältnis des 0/1 Verhältnis von Test und Train:	0.9902
