Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1264
Anzahl Artikel in Train:	542
Anteil von Test an gesamten Artikeln:	0.6999
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	1836
Anzahl Sätze in Train:	775
Anteil von Test an gesamten Sätzen:	0.7032
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	3895
Anzahl Interaktionen in Train:	1654
Anteil von Test an gesamten Interaktionen:	0.7019
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8963
0/1 Verhältnis in Train:	0.8924
Verhältnis des 0/1 Verhältnis von Test und Train:	1.0043
