Gesamtanzahl Artikel:	1806
Anzahl Artikel in Test:	1264
Anzahl Artikel in Train:	542
Anteil von Test an gesamten Artikeln:	0.6999
Gesamtanzahl Sätze:	2611
Anzahl Sätze in Test:	1840
Anzahl Sätze in Train:	771
Anteil von Test an gesamten Sätzen:	0.7047
Gesamtanzahl interactions:	5549
Anzahl Interaktionen in Test:	3881
Anzahl Interaktionen in Train:	1668
Anteil von Test an gesamten Interaktionen:	0.6994
Gesamtes 0/1 Verhältnis:	0.8952
0/1 Verhältnis in Test:	0.8969
0/1 Verhältnis in Train:	0.8912
Verhältnis des 0/1 Verhältnis von Test und Train:	1.0064
